R;G;B
121;092;069
106;080;065
143;120;094
155;139;120
137;119;110
134;117;101
150;129;109
146;126;103
172;138;106
150;118;096
139;111;075
137;121;092
084;081;073
158;143;120
163;149;129
126;105;066
166;144;114
163;148;122
164;142;110
186;141;113
146;119;098
170;140;109
135;112;101
069;066;068
073;072;073
081;082;082
063;065;064
062;063;066
054;055;057
052;053;050
071;069;059
166;156;151
130;128;121
059;060;061
058;060;060
078;078;081
055;058;058
102;105;105
079;079;077
080;070;065
181;141;120
178;141;117
185;140;117
166;141;117
183;145;123
170;137;115
128;108;076
125;099;068
113;091;067
170;156;140
169;156;138
165;148;134
146;133;119
141;122;101
163;139;116
171;140;114
135;120;108
158;144;123
146;128;109
147;131;106
141;125;113
166;148;126
154;137;117
147;127;093
138;116;096
165;153;141
165;156;140
171;162;148
172;163;149
166;155;143
167;156;144
161;152;139
156;154;138
153;149;134
152;143;133
137;132;120
134;125;114
162;153;143
154;152;147
161;152;142
160;152;142
162;153;140
147;132;120
137;126;112
168;157;145
165;157;144
160;150;138
171;161;147
165;156;141
167;157;144
171;162;149
165;153;140
156;137;121
166;150;117
151;132;098
147;128;113
110;094;073
136;119;100
119;103;093
151;133;114
151;139;121
136;125;110
103;094;083
144;130;113
164;152;132
173;161;146
174;161;144
168;155;135
100;083;069
110;079;054
120;098;072
157;136;114
179;142;119
142;118;094
176;138;118
122;089;070
154;123;112
113;110;105
090;090;089
090;091;088
084;084;085
098;100;101
076;077;076
071;073;076
163;162;152
168;163;150
161;151;141
093;093;093
085;085;086
090;087;086
106;103;097
147;144;133
134;130;118
107;093;078
172;136;114
166;131;112
179;135;116
130;095;084
145;119;100
146;129;109
124;101;075
100;075;056
109;097;083
155;142;121
176;163;146
176;163;148
165;154;138
153;141;123
094;087;080
113;102;095
141;125;105
130;113;089
106;093;081
115;104;091
117;106;090
130;118;102
142;117;086
152;126;095
130;102;077
132;117;094
150;136;122
171;160;148
167;157;144
174;165;152
165;156;143
154;146;132
148;142;127
166;153;140
172;159;146
151;141;132
145;138;126
153;149;144
160;153;134
159;153;142
076;075;065
165;147;111
159;141;116
146;129;103
150;142;129
155;145;131
156;147;131
171;162;146
168;158;146
136;122;110
142;133;111
142;118;094
133;116;094
153;137;119
127;107;081
152;132;101
132;116;095
142;110;096
173;157;134
132;116;096
119;102;092
106;093;080
136;129;116
168;159;142
156;143;127
166;154;139
157;143;126
143;108;094
157;124;110
154;136;118
131;120;088
167;148;124
153;135;117
140;125;113
165;155;143
172;165;153
177;169;152
178;170;154
171;163;148
153;144;134
167;159;149
166;160;150
166;162;153
156;159;149
172;163;148
173;163;149
177;167;150
170;163;149
146;135;123
171;161;148
175;167;152
174;166;150
169;159;145
158;148;131
170;161;144
170;163;146
164;147;126
127;089;067
166;103;092
171;116;104
154;108;097
150;135;121
159;146;130
163;156;138
164;152;130
160;147;125
135;121;096
109;092;081
121;107;084
130;115;089
168;149;131
175;136;119
132;105;075
139;115;094
133;110;095
122;102;086
134;113;097
130;116;093
137;125;111
163;153;142
171;161;148
161;149;135
150;137;122
122;108;098
162;145;113
149;131;101
121;099;080
062;062;059
161;154;149
163;156;141
150;148;141
159;155;137
162;153;140
162;152;149
124;123;119
058;057;062
155;133;096
146;125;091
147;133;119
127;116;101
156;148;125
151;142;126
174;159;147
156;137;118
148;130;105
086;072;064
128;111;097
137;116;101
151;117;096
172;123;105
149;125;108
139;118;089
085;068;054
122;114;098
097;090;082
142;123;104
163;151;130
168;156;140
162;155;136
077;069;059
084;066;061
109;095;082
163;126;114
155;081;073
156;129;116
171;156;136
168;156;140
169;159;142
170;161;145
176;163;149
179;167;158
178;165;156
172;162;147
141;129;117
172;163;149
170;162;147
170;160;146
158;161;150
161;156;139
165;155;139
170;161;146
173;165;150
174;166;151
175;165;152
172;159;143
172;161;145
160;147;132
178;167;150
175;167;150
142;134;118
173;160;145
173;160;145
184;169;152
119;095;084
117;088;073
146;130;114
074;080;090
142;135;129
127;128;124
124;109;084
115;099;070
103;088;068
105;104;094
089;081;072
122;111;098
084;073;066
154;143;130
156;126;108
158;125;113
125;100;070
145;130;093
070;083;097
120;111;092
077;076;076
113;094;076
148;136;107
119;097;070
138;126;108
138;120;098
157;139;111
112;104;105
090;089;094
112;112;109
164;152;139
163;155;140
155;153;146
164;156;141
170;161;146
156;148;139
089;086;079
078;072;072
135;115;093
